title,company_name,location,via,longitude,latitude,company_freq,location_freq,via_freq
Data Scientist II (1),Caterpillar,"  Illinois City, IL   ",Caterpillar Careers,-90.8995898,41.3975305,1,1,1
Data Scientist,Abbott Laboratories,"  Austin, TX   ",Abbott Jobs,-97.7436995,30.2711286,1,3,1
Data Scientist,Northwestern University,"  Evanston, IL   ",ZipRecruiter,-87.6930459,42.0447388,1,1,21
Senior Principal Data Scientist,Walgreens,"  Deerfield, IL   ",Walgreens,-87.8445119,42.1711365,1,1,1
Machine Learning Engineer/Scientist,Unlearn.AI,"  Boston, MA    ",Wellfound,-71.060511,42.3554334,1,1,1
Post-Doctoral Associate in Statistical Genetics/Omics/Imaging and...,University of Minnesota,"  St Paul, MN   ",JobLeads,-93.0931028,44.9497487,1,2,5
Machine Learning Engineer at PathAI in Remote,PathAI,"  Cary, NC   ","Cary, NC - Geebo",-78.7812081,35.7882893,1,1,1
Machine Learning Engineer (Remote),Curai,  California   ,Lever,-118.755997,36.7014631,1,2,10
Deep Learning Engineer,The Phoenix Group,"  Teaneck, NJ   ",LinkedIn,-74.0072568,40.8860164,2,2,16
Sales Engineer - Deep Learning,Neural Magic,"  Somerville, MA   ",Startup Jobs,-71.0994968,42.3875968,3,3,6
"Deep Learning Research Engineer, 3D Computer Vision - SPG",Apple,"  Cupertino, CA   ",Salary.com,-122.0322895,37.3228934,10,7,4
Senior AI/ML Engineer - Sequence Learning,GSK,"  San Francisco, CA   ",GSK Careers Job Search - Jobs,-122.419906,37.7790262,2,16,1
2023 Intern - Machine Learning Engineer,Adobe,"  San Jose, CA   ",Adobe - Talentify,-121.890591,37.3361663,1,7,1
A/AI Machine Learning Engineer Senior Jobs,Lockheed Martin,"  Littleton, CO   ",Clearance Jobs,-105.016649,39.613321,3,3,5
Deep Learning Support Engineer (Remote) at AssemblyAI in San...,AssemblyAI,"  San Francisco, CA   ","San Francisco, CA - Geebo",-122.419906,37.7790262,1,16,2
Sr / Staff Research Scientist- Deep Learning & Computer Vision.,Deeproute.ai,"  Fremont, CA   ",Jobs By Workable,-121.988571,37.5482697,1,1,4
Computer Vision & Deep Learning Research Scientist,MoTek Technologies,"  Mountain View, CA   ",MoTek Technologies,-122.0832101,37.3893889,2,3,2
"Staff Machine Learning Engineer - NLP, LLM, Deep-Learning",Eightfold AI,"  Santa Clara, CA   ",Glassdoor,-121.6846349,37.2333253,1,4,2
Blockchain Analyst,Crypto.com,"  Miami, FL   ",Simplify,-80.19362,25.7741728,2,2,2
Blockchain Technology Instructor,University of California Los Angeles,"  Los Angeles, CA   ","Higher Education Recruitment Consortium (HERC), HERC Jobs",-118.242766,34.0536909,1,8,1
Blockchain Technical Expert,Swift,"  Manassas, VA   ",LinkedIn,-77.4752667,38.7509488,1,1,16
Senior Product Manager (Blockchain),"Trac Technologies, Inc.","  Los Angeles, CA   ",Lever,-118.242766,34.0536909,1,8,10
Blockchain Engineer,Resource 1,"  Chicago, IL   ",Dice,-87.6244212,41.8755616,1,11,4
Bioinformatics Data Scientist,LandOLakes,"  Arden Hills, MN   ",Land O Lakes Careers - Land O'Lakes Inc.,-93.1666945,45.0761409,1,1,1
